FILE_NAME,BLOBS_AREA_MEAN,BLOBS_AREA_STDEV,BLOBS_AREA_SUM,BLOBS_AREA_VARIANCE,BLOBS_BRIGHTNESS_MAX,BLOBS_BRIGHTNESS_MEAN,BLOBS_BRIGHTNESS_MIN,BLOBS_BRIGHTNESS_STDEV,BLOBS_COUNT,MAXBLOB_ANGLE,MAXBLOB_AREA,MAXBLOB_CIRCULARITY,MAXBLOB_CONVEXHULL_AREA,MAXBLOB_CONVEXHULL_PERIMETER,MAXBLOB_EQUIVALENT_DIAMETER,MAXBLOB_LENGTH_1ST,MAXBLOB_LENGTH_2ND,MAXBLOB_LENGTH_RATIO,MAXBLOB_PERIMETER,MAXBLOB_ROUGHNESS,MAXBLOB_SOLIDITY
18850_T5A46BQ0B4B_TCAOH420_48_338.887_-380.638_O_M_20161202_003337.jpg,125.2,106.396,626,11320.1,171,87.6717,39,30.8024,5,-26.5651,272,0.806209,282.5,62.2209,18.6097,22.8079,16.0997,1.41667,65.1127,1.04648,0.962832
18850_T5A46BQ0B4B_TCAOH420_78_-542.149_183.963_O_M_20161202_003338.jpg,100.875,53.4577,403.5,2857.73,61,56.5367,49,2.91192,4,0,159,0.630715,176.5,52.7953,14.2283,21,11,1.90909,56.2843,1.06608,0.90085
18850_T5A46BQ0BCB_TCAOH420_94_267.657_256.072_O_M_20161202_001503.jpg,250,0,250,0,59,49.0035,39,4.93384,1,-18.4349,250,0.574616,299.5,67.6597,17.8412,26.2469,13.2816,1.97619,73.9411,1.09284,0.834725
18850_T5A46BQ0BFB_TCAOH420_209_237.385_492.298_O_L_20161202_000909.jpg,81.7143,70.9811,572,5038.32,168,67.9306,47,23.5005,7,-11.3099,199,0.598728,227,59.5282,15.9177,21.965,11.5709,1.8983,64.6274,1.08566,0.876652
18850_T5A46BQ0C9B_TCAOH410_175_-418.329_440.514_O_L_20161201_135105.jpg,562,480.126,1124,230521,222,61.3521,31,34.4673,2,-39.8056,901.5,0.602739,929.5,131.4,33.8796,58.1287,20.3579,2.85535,137.095,1.04335,0.969876
18850_T5A46BQ0CCB_TCAOH410_1572_241.648_613.838_O_L_20161201_134442.jpg,263.5,329.512,527,108578,193,80.3832,44,29.9879,2,0,496.5,0.625914,564,88.6875,25.1429,31,23,1.34783,99.8406,1.12576,0.880319
18850_T5A46BQ0CEB_TCAOH410_4852_-401.536_846.348_O_L_20161201_134021.jpg,334.25,428.86,668.5,183921,85,60.1137,41,11.9224,2,0,637.5,0.650053,659.5,106.327,28.4902,46,18,2.55556,111.012,1.04406,0.966641
18850_T5A46BQ0CEB_TCAOH410_815_-587.757_-150.69_O_M_20161201_134015.jpg,102.5,91.9239,205,8450,98,82.0544,68,8.25795,2,-71.565,167.5,0.840547,173.5,48.3213,14.6037,17.7088,12.3329,1.4359,50.0416,1.0356,0.965418
18850_T5A46BQ0CJB_TCAOH410_882_569.634_513.157_O_M_20161201_133128.jpg,106,0,106,0,192,132.672,74,35.7531,1,0,106,0.826637,108.5,39.3558,11.6174,13,10,1.3,40.1421,1.01998,0.976959
18850_T5A46BQ0CLB_TCAOH410_1678_-492.85_-180.319_O_L_20161201_132601.jpg,908,0,908,0,85,64.5055,41,12.6342,1,-61.6992,908,0.242007,1314.5,135.803,34.0015,45.5813,34.8802,1.3068,217.137,1.59891,0.690757
